field,value
generated_at_utc,2026-01-07T14:20:35.165332Z
dataset_path,data/requirements.csv
dataset_total_requirements,303
unit_of_analysis,requirement
primary_case_system,ecommerce
primary_case_n,228
primary_covers_all_classes,True
primary_size_ok_for_robustness_tests,True
min_primary_n_for_robustness,50
secondary_systems_for_sanity_checks,"banking, education, field_service, healthcare"
validation_scope,"construct validity (operational), internal consistency, robustness"
out_of_scope,business value ground truth; stakeholder satisfaction; cost/benefit benchmarking
