req_id,system,class,source,text,numbers_count,units_count,explicit_quantifiers,modal_score,strong_modal,weak_modal,actor_score,actor_specific,vague_lex_hits,comparative_unanchored,open_quantifier,num_present,unit_present,kpi_near,std_present,cue_score,L,_row_idx,sim_spec_sys,sim_vague_sys,M_raw_sys,M_sys,w_L_sys,w_M_sys,bank_Q_sys,bank_shrink_a_sys,VB_size_sys,SB_size_sys,S_final_sys
ecommerce_f_022,ecommerce,f,unchanged,The product shall record different meeting types.,0,0,0,1.0,1,0,0.0,0,0,False,True,0,0,0,0,1.25,0.25,27,,,,,,,,,,,
ecommerce_f_026,ecommerce,f,unchanged,The product shall be able to send meeting notifications via different kinds of end-user specified methods.,0,0,1,1.0,1,0,0.0,0,0,False,True,0,0,0,0,2.25,0.45,31,,,,,,,,,,,
ecommerce_f_028,ecommerce,f,unchanged,The product shall have an intuitive user interface.,0,0,0,1.0,1,0,0.0,0,1,False,False,0,0,0,0,0.0,0.0,33,,,,,,,,,,,
ecommerce_l_004,ecommerce,l,unchanged,IzognMovies shall meet the licensing requirements set forth by the appropriate organizations in order to stream African movies.,0,0,1,1.0,1,0,0.0,0,1,False,False,0,0,0,0,1.0,0.2,100,,,,,,,,,,,
ecommerce_o_011,ecommerce,o,unchanged,The product must work with most database management systems (DBMS) on the market  whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.,0,0,0,1.0,1,0,0.0,0,0,False,True,0,0,0,0,1.0,0.2,129,,,,,,,,,,,
ecommerce_o_022,ecommerce,o,unchanged,The product will be available for licensing as a one-server  two-five servers  or five-or-more servers license.,0,0,0,0.75,0,0,0.0,0,0,True,False,0,0,0,0,0.75,0.15,140,,,,,,,,,,,
ecommerce_pe_001,ecommerce,pe,unchanged,The product shall respond fast to keep up-to-date data in the display.,0,0,2,1.0,1,0,0.0,0,1,False,False,0,0,0,0,2.0,0.4,147,,,,,,,,,,,
ecommerce_sc_001,ecommerce,sc,unchanged,The product shall be able to support multiple remote users,0,0,1,1.0,1,0,0.0,0,0,False,True,0,0,0,0,2.0,0.4,161,,,,,,,,,,,
ecommerce_us_017,ecommerce,us,unchanged,The product shall allow for intuitive searching of available conference rooms.,0,0,0,1.0,1,0,0.0,0,1,False,False,0,0,0,0,0.0,0.0,200,,,,,,,,,,,
ecommerce_us_025,ecommerce,us,unchanged,The product shall be intuitive and self-explanatory.  Nine out ten users shall be able to successfully complete a game with no training.,0,0,2,1.0,1,0,0.0,0,1,False,False,0,0,0,0,2.0,0.4,208,,,,,,,,,,,
